date,fond,horizon(mois),VL (MAD),1W (%),6M (%),1A (%),2A (%),3A (%),5A (%),Catégorie
11/21/2025,WG OBLIGATIONS,24.0,176.63,-0.26,0.95,4.02,9.87,4.96,5.56,obligataire moyen et long terme
11/21/2025,ATTIJARI PATRIMOINE TAUX,24.0,3924.66,-0.34,-0.33,2.69,8.61,9.47,8.86,obligataire moyen et long terme
11/21/2025,PATRIMOINE OBLIGATIONS,24.0,423.11,-0.46,1.01,5.2,12.57,15.46,15.58,obligataire moyen et long terme
11/14/2025,WG OBLIGATIONS,24.0,177.09,-0.26,1.33,4.27,10.3,5.07,5.85,obligataire moyen et long terme
11/14/2025,ATTIJARI PATRIMOINE TAUX,24.0,3938.04,-0.28,0.17,2.97,9.19,10.0,9.24,obligataire moyen et long terme
11/14/2025,PATRIMOINE OBLIGATIONS,24.0,425.06,-0.35,1.69,5.64,13.26,16.17,16.17,obligataire moyen et long terme
11/7/2025,WG OBLIGATIONS,24.0,177.56,0.2,1.83,4.64,10.85,4.84,5.97,obligataire moyen et long terme
11/7/2025,ATTIJARI PATRIMOINE TAUX,24.0,"3,949.04",0.1,0.69,3.41,9.72,9.84,9.31,obligataire moyen et long terme
11/7/2025,PATRIMOINE OBLIGATIONS,24.0,426.55,0.1,2.21,6.12,13.95,16.05,16.3,obligataire moyen et long terme
10/31/2025,WG OBLIGATIONS,24.0,177.21,0.13,1.84,4.52,10.76,4.6,5.8,obligataire moyen et long terme
10/31/2025,ATTIJARI PATRIMOINE TAUX,24.0,3945.09,0.18,0.77,3.42,9.71,9.56,9.23,obligataire moyen et long terme
10/31/2025,PATRIMOINE OBLIGATIONS,24.0,426.12,0.26,2.32,6.15,13.94,16.07,16.24,obligataire moyen et long terme
10/24/2025,WG OBLIGATIONS,24.0,176.98,0.12,1.84,4.47,10.67,4.52,5.72,obligataire moyen et long terme
10/24/2025,ATTIJARI PATRIMOINE TAUX,24.0,3938.13,0.04,0.71,3.29,9.59,9.3,9.06,obligataire moyen et long terme
10/24/2025,PATRIMOINE OBLIGATIONS,24.0,425.03,0.14,2.28,5.96,13.72,15.39,15.81,obligataire moyen et long terme
10/17/2025,WG OBLIGATIONS,24.0,176.76,-0.14,1.84,4.47,10.7,4.33,5.68,obligataire moyen et long terme
10/17/2025,ATTIJARI PATRIMOINE TAUX,24.0,3936.49,-0.23,0.76,3.35,9.62,9.26,9.07,obligataire moyen et long terme
10/17/2025,PATRIMOINE OBLIGATIONS,24.0,424.44,-0.11,2.34,5.94,13.69,15.31,15.74,obligataire moyen et long terme
10/10/2025,WG OBLIGATIONS,24.0,177,-0.07,2.21,4.75,10.93,4.71,5.87,obligataire moyen et long terme
10/10/2025,ATTIJARI PATRIMOINE TAUX,24.0,3945.5,-0.1,1.22,3.7,9.93,9.57,9.34,obligataire moyen et long terme
10/10/2025,PATRIMOINE OBLIGATIONS,24.0,424.89,-0.17,3.1,6.19,13.88,15.42,15.91,obligataire moyen et long terme
10/3/2025,WG OBLIGATIONS,24.0,177.13,-0.03,2.22,4.94,11.03,4.79,5.98,obligataire moyen et long terme
10/3/2025,ATTIJARI PATRIMOINE TAUX,24.0,"3,949.32",-0.05,1.32,3.88,10.0,9.59,9.45,obligataire moyen et long terme
10/3/2025,PATRIMOINE OBLIGATIONS,24.0,425.63,-0.1,2.9,6.52,14.11,13.47,16.06,obligataire moyen et long terme
